"","x"
"1",0.78
"2",1.11
"3",0.6
"4",0.64
"5",0.4
"6",0.86
"7",0.48
"8",0.62
"9",0.59
"10",0.52
"11",0.53
"12",0.44
"13",0.32
"14",0.32
"15",0.28
"16",0.41
"17",0.3
"18",0.18
"19",0.33
"20",0.47
"21",0.34
"22",0.56
"23",0.38
"24",0.41
"25",0.38
"26",0.38
"27",0.31
"28",0.46
"29",0.41
"30",0.23
"31",0.57
"32",0.67
"33",0.59
"34",0.14
"35",0.48
"36",0.53
"37",0.52
"38",0.19
"39",0.55
"40",0.76
"41",0.43
"42",0.24
"43",0.57
"44",0.72
"45",0.66
"46",0.24
"47",0.47
"48",0.97
"49",0.61
"50",0.45
"51",0.58
"52",0.85
"53",0.63
"54",0.42
"55",0.39
"56",0.54
"57",0.27
"58",0.07
"59",0.33
"60",0.43
"61",0.32
"62",0.36
"63",0.48
"64",0.3
"65",0.47
"66",0.21
"67",0.17
"68",0.38
"69",0.03
"70",0.38
