"","x"
"1",1.13
"2",1.08
"3",0.78
"4",0.44
"5",0.52
"6",1.11
"7",0.66
"8",0.61
"9",0.6
"10",0.5
"11",0.46
"12",0.64
"13",0.62
"14",0.45
"15",0.4
"16",0.41
"17",0.54
"18",0.86
"19",0.57
"20",0.57
"21",0.48
"22",0.65
"23",0.63
"24",0.62
"25",0.68
"26",0.46
"27",0.59
"28",0.61
"29",0.35
"30",0.52
"31",0.33
"32",0.3
"33",0.53
"34",0.33
"35",0.32
"36",0.44
"37",0.5
"38",0.38
"39",0.32
"40",0.28
"41",0.18
"42",0.32
"43",0.31
"44",0.3
"45",0.28
"46",0.33
"47",0.47
"48",0.41
"49",0.52
"50",0.3
"51",0.3
"52",0.2
"53",0.11
"54",0.18
"55",0.25
"56",0.28
"57",0.33
"58",0.26
"59",0.41
"60",0.47
"61",0.58
"62",0.33
"63",0.34
"64",0.42
"65",0.41
"66",0.56
"67",0.46
"68",0.32
"69",0.38
"70",0.52
"71",0.61
"72",0.41
"73",0.5
"74",0.36
"75",0.38
"76",0.33
"77",0.26
"78",0.38
"79",0.37
"80",0.21
"81",0.31
"82",0.34
"83",0.36
"84",0.46
"85",0.52
"86",0.31
"87",0.41
"88",0.39
"89",0.31
"90",0.23
"91",0.31
"92",0.41
"93",0.57
"94",0.56
"95",0.55
"96",0.67
"97",0.89
"98",0.53
"99",0.59
"100",0.47
"101",0.03
"102",0.14
"103",0.3
"104",0.42
"105",0.48
"106",0.52
"107",0.52
"108",0.53
"109",0.54
"110",0.44
"111",0.52
"112",0.48
"113",0.29
"114",0.19
"115",0.33
"116",0.41
"117",0.55
"118",0.49
"119",0.54
"120",0.76
"121",0.41
"122",0.42
"123",0.43
"124",0.33
"125",0.33
"126",0.24
"127",0.27
"128",0.44
"129",0.57
"130",0.66
"131",0.73
"132",0.72
"133",0.63
"134",0.62
"135",0.66
"136",0.5
"137",0.33
"138",0.24
"139",0.22
"140",0.4
"141",0.47
"142",0.59
"143",0.83
"144",0.97
"145",1.06
"146",1.01
"147",0.61
"148",0.51
"149",0.37
"150",0.45
"151",0.28
"152",0.35
"153",0.58
"154",0.66
"155",1.02
"156",0.85
"157",0.85
"158",0.49
"159",0.63
"160",0.57
"161",0.32
"162",0.42
"163",0.27
"164",0.35
"165",0.39
"166",0.35
"167",0.55
"168",0.54
"169",0.57
"170",0.22
"171",0.27
"172",0.47
"173",0.06
"174",0.07
"175",0.21
"176",0.3
"177",0.33
"178",0.35
"179",0.36
"180",0.43
"181",0.39
"182",0.31
"183",0.32
"184",0.33
"185",0.33
"186",0.36
"187",0.06
"188",0.26
"189",0.48
"190",0.13
"191",0.04
"192",0.3
"193",0.39
"194",0.32
"195",0.47
"196",0.26
"197",0.29
"198",0.21
"199",0.19
"200",0.16
"201",0.17
"202",0.45
"203",0.58
"204",0.38
"205",0.23
"206",0.04
"207",0.03
"208",-0.39
"209",0.13
"210",0.38
