"","x"
"1",100.43
"2",102.05
"3",102.08
"4",100.93
"5",99.8
"6",100.32
"7",99.05
"8",99.77
"9",101.76
"10",101.69
"11",101.99
"12",101.58
"13",103.56
"14",104.54
"15",105.99
"16",106.43
"17",106.31
"18",107.28
"19",107.83
"20",108.21
"21",109.43
"22",108.59
"23",109.65
"24",108.76
"25",109.55
"26",110.22
"27",110.48
"28",110.99
"29",110.95
"30",110.62
"31",110.66
"32",111.25
"33",110.93
"34",110.96
"35",111.82
"36",112.35
"37",113.36
"38",113.64
"39",113.57
"40",114.32
"41",115.64
"42",114.72
"43",116.95
"44",116.61
"45",116.85
"46",117.99
"47",118.86
"48",119.95
"49",119.66
"50",120.18
"51",119.45
"52",121.24
"53",122.34
"54",123.41
"55",124.26
"56",124.26
"57",125.36
"58",126.21
"59",126.15
"60",126.89
"61",127.22
"62",126.75
"63",126.46
"64",127.91
"65",129.43
"66",131.11
"67",130.94
"68",131.01
"69",130.87
"70",128.11
"71",124.91
"72",120.86
"73",120.9
"74",122.19
"75",122.98
"76",123.75
"77",124.89
"78",125.89
"79",126.23
"80",128.07
"81",129.12
"82",129.84
"83",129.97
"84",131.28
"85",133.61
"86",135.18
"87",136.52
"88",137.3
"89",136.43
"90",136.19
"91",136.95
"92",137.68
"93",139.27
"94",138.7
"95",140.04
"96",138.2
"97",140.17
"98",140.73
"99",141.1
"100",141.04
"101",141.26
"102",142.13
"103",142.21
"104",141.91
"105",141.81
"106",141.63
"107",142.23
"108",140.48
"109",138.92
"110",140.4
"111",140.07
"112",141.08
"113",142.61
"114",143.56
"115",143.9
"116",144.3
"117",143.73
"118",144.86
"119",144.58
"120",144.14
"121",144.95
"122",143.85
"123",144.97
"124",146.3
"125",146.83
"126",146.34
"127",146.95
"128",147.16
"129",148.03
"130",148.05
"131",148.36
"132",148.73
"133",148.3
"134",147.97
"135",147.83
"136",147
"137",146.26
"138",143.52
"139",144.66
"140",145.64
"141",146.15
"142",145.48
"143",145.63
"144",146.21
"145",145.31
"146",144.34
"147",144.02
"148",142.47
"149",141.18
"150",139.89
"151",138.81
"152",139.12
"153",137.9
"154",138.86
"155",136.92
"156",136.4
"157",135.65
"158",135.53
"159",134.62
"160",134.72
"161",134.06
"162",134.64
"163",134.36
"164",133.83
"165",133.71
"166",133.29
"167",133.07
"168",132.27
"169",133.64
"170",135.91
"171",135.72
"172",135.91
"173",134.89
"174",136
"175",136.45
"176",135.74
"177",135.6
"178",135.67
"179",135.91
"180",137.67
"181",137.22
"182",137.19
"183",137.15
"184",138.44
"185",132.96
"186",137.35
"187",138.15
"188",139.21
"189",138.19
"190",137.88
"191",138.34
"192",138.66
"193",139.09
"194",137.48
"195",137.29
"196",137.35
"197",138.11
"198",138.45
"199",138.16
"200",138.71
"201",139.35
"202",139.71
"203",139.64
"204",139.14
"205",139.23
"206",139.66
"207",131.05
"208",118.3
