"","x"
"1",1.76644166124377
"2",1.87640694328834
"3",1.87487437593856
"4",1.85629799036563
"5",1.66959183525385
"6",1.3787660946991
"7",1.12167756159911
"8",0.598836501088704
"9",0.548121408509688
"10",0.559615787935423
"11",0.559615787935423
"12",0.215111379616945
"13",0.22314355131421
"14",0.198850858745165
"15",0.00995033085316809
"16",-0.0202027073175195
"17",0
"18",0.0295588022415444
"19",0.476234178996372
"20",0.770108221696074
"21",0.966983846189673
"22",1.11185751541813
"23",1.28647402583768
"24",1.42551507427317
"25",1.52388002407245
"26",1.60743590976343
"27",1.65822807660353
"28",1.65632149833295
"29",1.66013102674962
"30",1.65822807660353
"31",1.59736533119983
"32",1.44456326924387
"33",0.959350221334602
"34",0.693147180559945
"35",0.593326845277734
"36",-1.83258146374831
"37",-1.71479842809193
"38",-1.56064774826467
"39",-1.89711998488588
"40",-2.12026353620009
"41",-1.83258146374831
"42",-1.71479842809193
"43",-1.66073120682165
"44",-1.71479842809193
"45",-1.96611285637283
"46",-2.40794560865187
"47",-2.52572864430826
"48",-2.65926003693278
"49",-2.04022082852655
"50",-1.83258146374831
"51",-1.96611285637283
"52",-1.83258146374831
"53",-1.96611285637283
"54",-2.40794560865187
"55",-2.52572864430826
"56",-2.40794560865187
"57",-2.52572864430826
"58",-2.30258509299405
"59",-2.40794560865187
"60",-2.12026353620009
"61",-2.20727491318972
"62",-2.04022082852655
"63",-1.96611285637283
"64",-1.42711635564015
"65",-1.02165124753198
"66",-0.967584026261706
"67",-0.916290731874155
"68",-0.616186139423817
"69",-0.23572233352107
"70",0.0392207131532813
"71",0.139761942375159
"72",0.262364264467491
"73",0.412109650826833
"74",0.598836501088704
"75",0.667829372575655
"76",0.819779831493311
"77",0.879626747502564
"78",0.867100487683383
"79",0.712949807856125
"80",0.438254930931155
"81",-0.430782916092454
