"","x"
"1",6.62
"2",4.62
"3",6.04
"4",5.29
"5",5.7
"6",5.31
"7",5.55
"8",4.95
"9",4.23
"10",9.48
"11",6.67
"12",6.61
"13",6.84
"14",6.4
"15",4.97
"16",6.46
"17",5.56
"18",5.52
"19",6.26
"20",5.5
"21",5.26
"22",5.08
"23",5.27
"24",5.93
"25",6.97
"26",6.64
"27",5.71
"28",5.89
"29",6.66
"30",7.1
"31",6.36
"32",5.97
"33",5.08
"34",4.44
"35",5.29
"36",7.81
"37",8.64
"38",7.86
"39",7.34
"40",6.58
"41",6.48
"42",9.88
"43",10.08
"44",9.11
"45",10.3
"46",8.87
"47",7.38
"48",8.68
"49",9.67
"50",9.5
"51",8.94
"52",9.54
"53",9.05
"54",10.08
"55",9.72
"56",9.35
"57",11.75
"58",10.44
"59",10.53
"60",11.98
"61",11.76
"62",10.87
"63",10.16
"64",8.2
"65",7.2
"66",8.49
"67",10.31
"68",12.05
"69",11.12
"70",10.62
"71",13.97
"72",15.07
"73",14.37
"74",12.72
"75",4.77
"76",0.78
"77",1.4
"78",1.27
"79",1.71
"80",3.55
"81",1.72
"82",1.9
"83",5.45
"84",11.65
"85",13.21
"86",12.64
"87",16.37
"88",19.1
"89",21.45
"90",19.71
"91",9.21
"92",4.87
"93",7.78
"94",11.22
"95",15.08
"96",14.15
"97",18.89
"98",15.7
"99",17.6
"100",19.29
"101",17.42
"102",22
"103",21.91
"104",21.59
"105",27.45
"106",25.62
"107",27.94
"108",28.7
"109",37.49
"110",16.78
"111",6.82
"112",8.33
"113",17.92
"114",28.65
"115",27.74
"116",33.71
"117",37.56
"118",39.77
"119",47.82
"120",51.5
"121",67.55
"122",75.73
"123",82.39
"124",15.52
"125",7.59
"126",11.75
"127",12.92
"128",12.88
"129",14.41
"130",14.36
"131",16.81
"132",18.44
"133",20.75
"134",20.72
"135",11.92
"136",4.99
"137",7.43
"138",11.19
"139",12.41
"140",15.63
"141",15.63
"142",20.23
"143",25.21
"144",23.71
"145",25.94
"146",24.32
"147",21.4
"148",19.93
"149",24.86
"150",20.21
"151",21.83
"152",22.14
"153",24.63
"154",25.24
"155",22.49
"156",25.24
"157",30.35
"158",24.98
"159",27.26
"160",27.75
"161",27.69
"162",30.07
"163",30.72
"164",32.96
"165",35.69
"166",33.92
"167",35.56
"168",36.84
"169",41.31
"170",40.27
"171",42.75
"172",42.68
"173",44.03
"174",47.43
"175",6.84
"176",1.86
"177",1.53
"178",2.62
"179",2.81
"180",1.71
"181",1.7
"182",1.02
"183",1.55
"184",2.43
"185",2.67
"186",2.26
"187",2.36
"188",0.99
"189",0.99
"190",1.41
"191",1.47
"192",1.56
"193",1.34
"194",1.03
"195",0.35
"196",1.26
"197",1.22
"198",1.19
"199",1.11
"200",0.44
"201",0.15
"202",0.3
"203",0.32
"204",0.47
"205",1.18
"206",0.5
"207",0.51
"208",0.88
"209",0.41
"210",0.54
"211",0.22
"212",-0.02
"213",0.06
"214",0.23
"215",0.17
"216",0.43
"217",0.71
"218",0.46
"219",0.34
"220",0.24
"221",0.5
"222",0.02
"223",-0.12
"224",-0.51
"225",-0.22
"226",0.02
"227",-0.12
"228",0.33
"229",0.7
"230",1.05
"231",1.1
"232",0.56
"233",0.3
"234",0.19
"235",1.09
"236",0.56
"237",0.31
"238",1.19
"239",0.95
"240",0.6
"241",0.62
"242",0.13
"243",0.22
"244",0.42
"245",0.01
"246",0.23
"247",1.61
"248",1.31
"249",0.23
"250",0.14
"251",0.32
"252",0.59
"253",0.57
"254",0.46
"255",0.38
"256",0.58
"257",0.41
"258",0.52
"259",1.33
"260",0.7
"261",0.28
"262",0.83
"263",0.71
"264",0.65
"265",0.52
"266",0.36
"267",0.6
"268",0.8
"269",0.21
"270",0.42
"271",1.19
"272",0.65
"273",0.72
"274",1.31
"275",3.02
"276",2.1
"277",2.25
"278",1.57
"279",1.23
"280",0.97
"281",0.61
"282",-0.15
"283",0.2
"284",0.34
"285",0.78
"286",0.29
"287",0.34
"288",0.52
"289",0.76
"290",0.61
"291",0.47
"292",0.37
"293",0.51
"294",0.71
"295",0.91
"296",0.69
"297",0.33
"298",0.44
"299",0.69
"300",0.86
"301",0.58
"302",0.59
"303",0.61
"304",0.87
"305",0.49
"306",-0.02
"307",0.25
"308",0.17
"309",0.35
"310",0.75
"311",0.55
"312",0.36
"313",0.59
"314",0.41
"315",0.43
"316",0.21
"317",0.1
"318",-0.21
"319",0.19
"320",0.05
"321",0.21
"322",0.33
"323",0.31
"324",0.48
"325",0.44
"326",0.44
"327",0.37
"328",0.25
"329",0.28
"330",0.28
"331",0.24
"332",0.47
"333",0.18
"334",0.3
"335",0.38
"336",0.74
"337",0.54
"338",0.49
"339",0.48
"340",0.55
"341",0.79
"342",0.74
"343",0.53
"344",0.28
"345",0.26
"346",0.45
"347",0.36
"348",0.28
"349",0.48
"350",0.55
"351",0.2
"352",0.48
"353",0.47
"354",0.36
"355",0.24
"356",0.15
"357",0.24
"358",0.28
"359",0.41
"360",0.37
"361",0.75
"362",0.78
"363",0.52
"364",0.57
"365",0.43
"366",0
"367",0.01
"368",0.04
"369",0.45
"370",0.75
"371",0.83
"372",0.63
"373",0.83
"374",0.8
"375",0.79
"376",0.77
"377",0.47
"378",0.15
"379",0.16
"380",0.37
"381",0.53
"382",0.43
"383",0.52
"384",0.5
"385",0.56
"386",0.45
"387",0.21
"388",0.64
"389",0.36
"390",0.08
"391",0.43
"392",0.41
"393",0.57
"394",0.59
"395",0.6
"396",0.79
"397",0.86
"398",0.6
"399",0.47
"400",0.55
"401",0.37
"402",0.26
"403",0.03
"404",0.24
"405",0.35
"406",0.57
"407",0.54
"408",0.92
"409",0.55
"410",0.69
"411",0.92
"412",0.67
"413",0.46
"414",0.4
"415",0.01
"416",0.25
"417",0.57
"418",0.42
"419",0.51
"420",0.78
"421",1.24
"422",1.22
"423",1.32
"424",0.71
"425",0.74
"426",0.79
"427",0.62
"428",0.22
"429",0.54
"430",0.82
"431",1.01
"432",0.96
"433",1.27
"434",0.9
"435",0.43
"436",0.61
"437",0.78
"438",0.35
"439",0.52
"440",0.44
"441",0.08
"442",0.26
"443",0.18
"444",0.3
"445",0.38
"446",0.33
"447",0.25
"448",0.14
"449",0.31
"450",-0.23
"451",0.24
"452",0.19
"453",0.16
"454",0.42
"455",0.28
"456",0.44
"457",0.29
"458",0.32
"459",0.09
"460",0.22
"461",0.4
"462",1.26
"463",0.33
"464",-0.09
"465",0.48
"466",0.45
"467",-0.21
"468",0.15
"469",0.32
"470",0.43
"471",0.75
"472",0.57
"473",0.13
"474",0.01
"475",0.19
"476",0.11
"477",-0.04
"478",0.1
"479",0.51
"480",1.15
"481",0.21
"482",0.25
"483",0.07
"484",-0.31
"485",-0.38
