"","x"
"1",16.4736584570217
"2",16.392105692383
"3",16.4899690099494
"4",16.4247267982385
"5",16.4736584570217
"6",16.8161800685043
"7",17.4196705268309
"8",17.5012232914696
"9",17.9905398793019
"10",18.6918936551949
"11",19.1812102430272
"12",19.7194584896428
"13",20.4534333713913
"14",23.0141901810471
"15",26.4067851900179
"16",28.8370575762518
"17",29.5547219050726
"18",31.6750937856793
"19",34.2684717011907
"20",38.3461099331267
"21",44.1037351166204
"22",47.5941934431577
"23",49.1436959712934
"24",49.6982547708367
"25",50.5300929701517
"26",50.6605773935736
"27",49.2252487359322
"28",51.0357201109117
"29",52.3731854509868
"30",54.9502528135704
"31",57.9187734464198
"32",58.8810960691567
"33",59.8271081389659
"34",60.0880769858098
"35",60.6426357853531
"36",61.6212689610178
"37",63.7253302886968
"38",63.6927091828413
"39",63.2360137008644
"40",65.2259011580492
"41",68.1291795791877
"42",69.4340238134072
"43",68.3738378731039
"44",71.3423585059534
"45",74.3435002446583
"46",79.3508399934758
"47",82.0420812265536
"48",85.4672973413798
"49",95.1557657804599
"50",88.2727124449519
"51",92.6276300766596
"52",100.733974881748
"53",102.16930353939
"54",103.588321644104
"55",106.491600065242
"56",101.321154787147
"57",99.3965095416734
"58",102.8217256565
"59",107.290817158702
"60",106.980916653075
