"","x"
"1",18.23
"2",23.51
"3",35.55
"4",39.39
"5",23.65
"6",34.32
"7",83.98
"8",250.03
"9",854.45
"10",314.71
"11",560.69
"12",1502.24
"13",630.28
"14",154.67
"15",154.24
"16",151.44
"17",195.52
"18",362.14
"19",366.05
"20",606.33
"21",833.98
"22",480.08
"23",1054.31
"24",762.51
"25",720.75
"26",1312.8
"27",835.07
"28",1539.21
"29",3076.43
"30",1909.3
"31",1962.12
"32",1253.74
"33",1034.67
"34",829.22
"35",324.54
"36",266.37
"37",1486.02
"38",3005.24
"39",2687.61
"40",6002.01
"41",10676.54
"42",14365.32
"43",51659.46
"44",36957.2
"45",438898.83
"46",3507.42
"47",73.21
"48",88.57
"49",187.11
"50",339.35
"51",230.48
"52",554.26
"53",524.39
"54",877.02
"55",1237.94
"56",789.54
"57",166.94
"58",213.32
"59",187.77
"60",198.99
"61",244.79
"62",259.48
"63",434.02
"64",772.46
"65",1152.41
"66",3343.48
"67",2495.22
"68",1757.41
"69",2316.07
"70",1903.48
"71",1619.83
"72",1257.14
"73",1257.75
"74",1181.45
"75",1447.92
"76",1773.24
"77",1866.66
"78",1815.18
"79",1300.85
"80",2259.56
"81",3397.11
"82",1441.34
"83",3326.22
"84",2430.28
"85",2676.49
"86",2461.37
"87",2916.19
"88",4359.96
"89",5902.32
"90",5892.16
"91",4010.32
"92",7065.02
"93",13442.03
"94",7784.35
"95",15710.86
"96",8784.03
"97",13532.65
"98",131.03
"99",56.46
"100",57.06
"101",60.3
"102",65.36
"103",53.25
"104",46.25
"105",56.54
"106",57.98
"107",85.47
"108",61.05
"109",60.84
"110",60.53
"111",51.11
"112",51
"113",44.11
"114",42.93
"115",41.22
"116",33.83
"117",36.11
"118",30.16
"119",29.42
"120",25.64
"121",29.65
"122",23.28
"123",25.01
"124",25.4
"125",23.48
"126",25.27
"127",23.94
"128",21.73
"129",26.14
"130",24.11
"131",21.84
"132",21.91
"133",21.08
"134",19.04
"135",20.78
"136",19.81
"137",19.93
"138",45.9
"139",39.87
"140",37.19
"141",34.32
"142",28.32
"143",25.16
"144",22.6
"145",21.02
"146",20.33
"147",19.23
"148",34.29
"149",41.6
"150",38.73
"151",31.24
"152",31.19
"153",38.97
"154",43.25
"155",36.12
"156",27.11
"157",22.01
"158",20.74
"159",19.51
"160",19.38
"161",18.91
"162",18.95
"163",18.99
"164",18.94
"165",18.87
"166",18.85
"167",18.62
"168",18.51
"169",18.04
"170",16.85
"171",16.52
"172",16.56
"173",16.6
"174",16.51
"175",16.19
"176",15.49
"177",15.2
"178",15.39
"179",16.02
"180",16.43
"181",17.28
"182",18.57
"183",19
"184",19.06
"185",19.06
"186",19.05
"187",19.05
"188",19.05
"189",18.97
"190",18.72
"191",18.38
"192",18.37
"193",18.1
"194",18.17
"195",17.84
"196",17.89
"197",19.59
"198",21.25
"199",23.03
"200",25.06
"201",25.68
"202",26.32
"203",26.32
"204",26.31
"205",26.09
"206",25.36
"207",23.5
"208",21.02
"209",19.54
"210",18.31
"211",16.91
"212",16.32
"213",16.3
"214",16.19
"215",15.96
"216",15.77
"217",15.8
"218",15.77
"219",15.86
"220",16.09
"221",16.41
"222",16.96
"223",17.5
"224",17.93
"225",18.47
"226",18.97
"227",19.32
"228",19.61
"229",19.75
"230",19.72
"231",19.75
"232",19.61
"233",19.25
"234",18.87
"235",18.24
"236",17.65
"237",17.28
"238",16.74
"239",16.19
"240",15.7
"241",15.18
"242",14.98
"243",14.66
"244",14.17
"245",13.95
"246",13.65
"247",13.19
"248",13.13
"249",12.93
"250",12.74
"251",12.58
"252",12.43
"253",12.03
"254",11.73
"255",11.43
"256",11.22
"257",11.18
"258",11.18
"259",11.18
"260",11.18
"261",11.18
"262",11.18
"263",11.37
"264",11.63
"265",12.09
"266",12.36
"267",12.92
"268",13.39
"269",13.66
"270",13.64
"271",13.66
"272",13.32
"273",12.66
"274",11.7
"275",11.11
"276",10.16
"277",9.54
"278",9.01
"279",8.65
"280",8.65
"281",8.65
"282",8.65
"283",8.65
"284",8.65
"285",8.65
"286",8.65
"287",8.72
"288",9.4
"289",9.94
"290",10.32
"291",10.66
"292",10.66
"293",10.66
"294",10.66
"295",10.66
"296",10.85
"297",11.17
"298",11.62
"299",11.74
"300",11.92
"301",12.1
"302",12.25
"303",12.42
"304",11.91
"305",11.7
"306",11.4
"307",10.9
"308",10.7
"309",10.4
"310",9.82
"311",9.35
"312",8.87
"313",8.39
"314",8.07
"315",7.85
"316",7.39
"317",7.23
"318",7.14
"319",7.16
"320",7.11
"321",7.12
"322",7.15
"323",7.26
"324",7.42
"325",7.9
"326",8.23
"327",8.45
"328",8.9
"329",9.25
"330",9.45
"331",9.9
"332",10.17
"333",10.43
"334",10.65
"335",10.87
"336",10.9
"337",10.9
"338",10.9
"339",10.9
"340",10.9
"341",10.92
"342",11.15
"343",11.58
"344",11.82
"345",12.15
"346",12.58
"347",12.68
"348",13.15
"349",13.58
"350",13.69
"351",14.15
"352",14.15
"353",14.15
"354",14.15
"355",14.15
"356",14.15
"357",14.15
"358",14.15
"359",14.15
"360",14.15
"361",14.15
"362",14.15
"363",14.15
"364",14.15
"365",14.05
"366",13.9
"367",13.65
"368",13.17
"369",12.82
"370",12.15
"371",11.59
"372",11.15
"373",10.15
"374",10.01
"375",9.15
"376",8.35
"377",8.01
"378",7.4
"379",7
"380",6.9
"381",6.72
"382",6.58
"383",6.4
"384",6.4
"385",6.4
"386",6.4
"387",6.4
"388",6.4
"389",6.4
"390",6.4
"391",6.4
"392",6.4
"393",6.4
"394",6.4
"395",6.4
"396",6.4
"397",6.4
"398",6.4
"399",5.9
"400",5.71
"401",5.38
"402",4.9
"403",4.59
"404",4.4
"405",4.19
"406",3.95
"407",3.65
"408",3.01
"409",2.62
