"","x"
"1",3.27865302890406
"2",3.25732701124245
"3",3.0643250650196
"4",2.84897089215859
"5",2.82078347108945
"6",2.76883167336207
"7",2.8100049236252
"8",2.88368276974537
"9",2.96424160646262
"10",3.00716665117965
"11",2.99972429482353
"12",2.9338568698359
"13",2.85761897142436
"14",2.7638002162067
"15",2.70068984669592
"16",2.62321826558551
"17",2.598235335095
"18",2.55334381134123
"19",2.47569771070269
"20",2.46044317760963
"21",2.47148362945586
"22",2.52812576890798
"23",2.63977136034892
"24",2.65675690671466
"25",2.51122395810537
"26",2.31845844215034
"27",2.23430625224075
"28",2.2181159363676
"29",2.22354188565359
"30",2.37117788445966
"31",2.40604380136228
"32",2.39698576841553
"33",2.48740352998659
"34",2.56186769092413
"35",2.52011290552262
"36",2.43097830776244
"37",2.33214389523559
"38",2.21920348405499
"39",2.05923883436232
"40",2.00148000021012
"41",2.04381436403669
"42",2.15871472257434
"43",2.23323501485925
"44",2.32042501112238
"45",2.39698576841553
"46",2.45616418092235
"47",2.43624147780672
"48",2.4518667957098
"49",2.56263899832835
"50",2.64830019669644
"51",2.67896462020711
"52",2.66025953726586
"53",2.67552700939665
"54",2.68988623047454
"55",2.69192081917233
"56",2.64688376586472
"57",2.55567572067621
"58",2.40514168131914
"59",2.19944433407453
"60",2.02419306744936
"61",1.9823798288367
"62",1.95160817016995
"63",1.93441576962958
"64",1.96009478404727
"65",1.93585981320181
"66",1.97269117173296
"67",1.87793716546911
"68",1.65057985576528
"69",1.59330853050422
"70",1.17557332980424
