"","x"
"1",6.04
"2",5.31
"3",4.23
"4",6.61
"5",4.97
"6",5.52
"7",5.26
"8",5.93
"9",5.71
"10",7.1
"11",5.08
"12",7.81
"13",7.34
"14",9.88
"15",10.3
"16",8.68
"17",8.94
"18",10.08
"19",11.75
"20",11.98
"21",10.16
"22",8.49
"23",11.12
"24",15.07
"25",4.77
"26",1.27
"27",1.72
"28",11.65
"29",16.37
"30",19.71
"31",7.78
"32",14.15
"33",17.6
"34",22
"35",27.45
"36",28.7
"37",6.82
"38",28.65
"39",37.56
"40",51.5
"41",82.39
"42",11.75
"43",14.41
"44",18.44
"45",11.92
"46",11.19
"47",15.63
"48",23.71
"49",21.4
"50",20.21
"51",24.63
"52",25.24
"53",27.26
"54",30.07
"55",35.69
"56",36.84
"57",42.75
"58",47.43
"59",1.53
"60",1.71
"61",1.55
"62",2.26
"63",0.99
"64",1.56
"65",0.35
"66",1.19
"67",0.15
"68",0.47
"69",0.51
"70",0.54
"71",0.06
"72",0.43
"73",0.34
"74",0.02
"75",-0.22
"76",0.33
"77",1.1
"78",0.19
"79",0.31
"80",0.6
"81",0.22
"82",0.23
"83",0.23
"84",0.59
"85",0.38
"86",0.52
"87",0.28
"88",0.65
"89",0.6
"90",0.42
"91",0.72
"92",2.1
"93",1.23
"94",-0.15
"95",0.78
"96",0.52
"97",0.47
"98",0.71
"99",0.33
"100",0.86
"101",0.61
"102",-0.02
"103",0.35
"104",0.36
"105",0.43
"106",-0.21
"107",0.21
"108",0.48
"109",0.37
"110",0.28
"111",0.18
"112",0.74
"113",0.48
"114",0.74
"115",0.26
"116",0.28
"117",0.2
"118",0.36
"119",0.24
"120",0.37
"121",0.52
"122",0
"123",0.45
"124",0.63
"125",0.79
"126",0.15
"127",0.53
"128",0.5
"129",0.21
"130",0.08
"131",0.57
"132",0.79
"133",0.47
"134",0.26
"135",0.35
"136",0.92
"137",0.92
"138",0.4
"139",0.57
"140",0.78
"141",1.32
"142",0.79
"143",0.54
"144",0.96
"145",0.43
"146",0.35
"147",0.08
"148",0.3
"149",0.25
"150",-0.23
"151",0.16
"152",0.44
"153",0.09
"154",1.26
"155",0.48
"156",0.15
"157",0.75
"158",0.01
"159",-0.04
"160",1.15
"161",0.07
