"","x"
"1",100.84
"2",100.36
"3",104.4
"4",103.28
"5",104.07
"6",105.1
"7",106.41
"8",107.19
"9",104.97
"10",106.66
"11",106.94
"12",105.66
"13",105.59
"14",106.21
"15",106.41
"16",108
"17",109.92
"18",110.42
"19",111.54
"20",113.02
"21",113.49
"22",112.99
"23",112.14
"24",112.43
"25",113.95
"26",115.58
"27",116.96
"28",118.33
"29",116.86
"30",116.48
"31",117.67
"32",119.1
"33",121.27
"34",123.77
"35",125.52
"36",126.62
"37",126.23
"38",129.27
"39",128.17
"40",129.37
"41",131.59
"42",132.18
"43",133.99
"44",135.58
"45",138.38
"46",140.82
"47",141.92
"48",144.56
"49",146.86
"50",149.72
"51",151.95
"52",145.97
"53",143.56
"54",146.43
"55",150.04
"56",153.76
"57",156.53
"58",158.88
"59",160.58
"60",162.61
"61",164.37
"62",166.4
"63",166.37
"64",166.91
"65",166.89
"66",168.11
"67",170.7
"68",171.16
"69",171.01
"70",174.97
"71",175.61
"72",175.63
"73",176.49
"74",174.27
"75",174.6
"76",175.37
"77",173.37
"78",169.57
"79",167.14
"80",165.78
"81",164.34
"82",164.1
"83",163.02
"84",162.2
"85",164.87
"86",165.55
"87",165.67
"88",166.15
"89",167.24
"90",167.28
"91",168.19
"92",168.23
"93",168.23
"94",169.11
"95",170.17
"96",171.03
